J4311|USTC0006H|C43CMAIN:0 C43CNEW:4 C43CH:5 
J4311|USTCINT3|C43CMAIN:0 C43CNEW:9 C43CINT:5 
J4311|USTC0002TN|C43CMAIN:0 C43CNEW:2 C43CN:3 
J4311|USTC013THQ|C43CMAIN:0 C43CNEW:7 C43CTHQ:4 
J4311|USTC0006F|C43CMAIN:0 C43CNEW:3 C43CF:5 
J57599|USTC0003|C43CMAIN:0 C43CNEW:10 C43CBAB:11 
J4311|USTC0002TP|C43CMAIN:0 C43CNEW:5 C43CP:3 
J4311|USTCINC4|C43CMAIN:0 C43CNEW:6 C43CINC:14 
J4311|USTCTHQ1ST|C43CMAIN:0 C43CNEW:7 C43CTHQ:3 
J57599|USTC0005N|C43CMAIN:0 C43CNEW:2 C43CN:7 
J4311|USTCINC1|C43CMAIN:0 C43CNEW:6 C43CINC:2 
J57599|USTC0004H|C43CMAIN:0 C43CNEW:4 C43CH:12 
J57599|USTC0004|C43CMAIN:0 C43CNEW:10 C43CBAB:12 
J4311|USTC0002P|C43CMAIN:0 C43CNEW:5 C43CP:4 
J57599|USTC0001|C43CMAIN:0 C43CNEW:15 C43CCHT:10 
J4311|USTC0002TH|C43CMAIN:0 C43CNEW:4 C43CH:3 
J4311|USTX0002P|C43CMAIN:0 C43CNEW:14 C43CPC:4 
J57599|USTC0001|C43CMAIN:0 C43CNEW:11 C43CGEN:10 
J4311|USTCTHQ1|C43CMAIN:0 C43CNEW:7 C43CTHQ:2 
J57599|USTC0003|C43CMAIN:0 C43CNEW:15 C43CCHT:11 
J4311|USTC0002XN|C43CMAIN:0 C43CNEW:2 C43CN:15 
J57599|USTC0004|C43CMAIN:0 C43CNEW:8 C43CPAC:12 
J4311|USTCBAB3|C43CMAIN:0 C43CNEW:10 C43CBAB:5 
J57599|USTC0006H|C43CMAIN:0 C43CNEW:4 C43CH:8 
J4311|USTX0001P|C43CMAIN:0 C43CNEW:14 C43CPC:2 
J57599|USTC0003N|C43CMAIN:0 C43CNEW:2 C43CN:11 
J57599|USTC0003F|C43CMAIN:0 C43CNEW:3 C43CF:11 
