#================================================================
# User to locations mapping for the Corporate HQ System [jdesec]
#================================================================
KPK|Franklin_Park
KRH|Region
KSS|Corporate
KUH|Nashville
KWJ|Hopkinsville
KXL|Corporate
KXM|Region
KXR|Corporate
LAA|Region
LAD01|Franklin_Park
LAS|Corporate
LEB|Region
LER|Corporate
LFS|Franklin_Park
LGC|Corporate
LGL|Franklin_Park
LGR|Franklin_Park
LHH|Hopkinsville
LJK|Corporate
LJR|Corporate
LLC|Franklin_Park
LLS|Franklin_Park
LPP|Franklin_Park
LQS|Corporate
LRB|Corporate
LRH|Corporate
LRJ|Rickard_Seed
LTB|Region
LUD|Corporate
LWC|Corporate
LXG|Nashville
LXI|Corporate
LXK|Corporate
LXL|Franklin_Park
LXO|Corporate
LXS|Corporate
LXZ01|Corporate
LZP|Region
MAL|Corporate
MAM|Corporate
MAN|Franklin_Park
MAO|Corporate
MAU|Corporate
MBC|Corporate
MCR|Nashville
MCW|Corporate
MEM|Franklin_Park
MFT|Franklin_Park
MGK|Franklin_Park
MIC|Nashville
MJN|Region
MJS|Corporate
MKK|Nashville
MLR01|Corporate
MMB|Corporate
MMG|Nashville
MMH|Corporate
MMM|Nashville
MMP|Corporate
MMR|Corporate
MMR01|Corporate
MMX|Corporate
MNA|Corporate
MNH|Rickard_Seed
MNR|Corporate
MNW|Nashville
MPM|Corporate
MPV|Corporate
MQF|Corporate
MQQ|Corporate
MRW|Hopkinsville
MSB|Corporate
MSP|Corporate
MTD|Corporate
MTM|Corporate
MTT|Franklin_Park
MTW|Corporate
MUE|Corporate
MVB|Corporate
MVR|Franklin_Park
MXC|Region
MXF|Franklin_Park
MXH|Corporate
MXI|Corporate
MXN|Corporate
MXQ|Corporate
MXR|Corporate
NAN|Corporate
NJR|Franklin_Park
NLM|Corporate
NMR|Corporate
NRP|Corporate
NSP|Franklin_Park
OEQ|Franklin_Park
OKC01|Franklin_Park
PAE|Nashville
PAM|Corporate
PAW|Nashville
PDF|Hopkinsville
PDH|Nashville
PFB|Region
PJA|Corporate
PJB|Franklin_Park
PKC|Nashville
PLB|Clarksville
PLL|Corporate
PMG|Corporate
PMJ|Nashville
PMW|Nashville
PNCDL|Corporate
PRR|Franklin_Park
PSH|Region
PSV|Corporate
PURTEMP|Corporate
PWW|Rickard_Seed
PXC|Corporate
PXH|Corporate
PXL|Corporate
PXM|Region
PXS|Corporate
PYL|Hopkinsville
RAP|Franklin_Park
RBM01|Region
RBT|Corporate
RCT|Corporate
RFC|Corporate
RFR|Franklin_Park
RHF|Corporate
RJC|Franklin_Park
RJG|Corporate
RJV|Franklin_Park
RKH|Hopkinsville
RLC|Region
RLW|Region
RMA|Franklin_Park
RMM|Corporate
RNK|Nashville
RNM|Corporate
RNP|Corporate
ROT|Franklin_Park
RRS|Corporate
RSR|Corporate
RTJ|Corporate
RTM|Corporate
RVB|Corporate
RXA|Corporate
RXH|Franklin_Park
RXJ|Corporate
RXV|Rickard_Seed
RXW|Nashville
RZP|Corporate
RZP01|Corporate
SAE|Nashville
SAL|Corporate
SAN|Region
SBB|Nashville
